stratum,tm,pop_average,pop_average_u5,prop_idp,y,m,admin0,admin1,dep_rate
Adan Yabaal,13,74750,18688,NA,2013,1,NA,NA,NA
Adan Yabaal,14,74877,18719,NA,2013,2,NA,NA,NA
Adan Yabaal,15,75003,18751,NA,2013,3,NA,NA,NA
Adan Yabaal,16,75130,18782,NA,2013,4,NA,NA,NA
Adan Yabaal,17,75258,18814,NA,2013,5,NA,NA,NA
Adan Yabaal,18,75385,18846,NA,2013,6,NA,NA,NA
Adan Yabaal,19,75513,18878,NA,2013,7,NA,NA,NA
Adan Yabaal,20,75640,18910,NA,2013,8,NA,NA,NA
Adan Yabaal,21,75768,18942,NA,2013,9,NA,NA,NA
Adan Yabaal,22,75896,18974,NA,2013,10,NA,NA,NA
Adan Yabaal,23,76025,19006,NA,2013,11,NA,NA,NA
Adan Yabaal,24,76153,19038,NA,2013,12,NA,NA,NA
Adan Yabaal,25,76282,19070,NA,2014,1,NA,NA,NA
Adan Yabaal,26,76411,19103,NA,2014,2,NA,NA,NA
Adan Yabaal,27,76540,19135,NA,2014,3,NA,NA,NA
Adan Yabaal,28,76670,19168,NA,2014,4,NA,NA,NA
Adan Yabaal,29,76800,19200,NA,2014,5,NA,NA,NA
Adan Yabaal,30,76930,19232,NA,2014,6,NA,NA,NA
Adan Yabaal,31,77060,19265,NA,2014,7,NA,NA,NA
Adan Yabaal,32,77190,19298,NA,2014,8,NA,NA,NA
Adan Yabaal,33,77320,19330,NA,2014,9,NA,NA,NA
Adan Yabaal,34,77452,19363,NA,2014,10,NA,NA,NA
Adan Yabaal,35,77582,19396,NA,2014,11,NA,NA,NA
Adan Yabaal,36,77714,19428,NA,2014,12,NA,NA,NA
Adan Yabaal,37,77845,19461,NA,2015,1,NA,NA,NA
Adan Yabaal,38,77977,19494,NA,2015,2,NA,NA,NA
Adan Yabaal,39,78109,19527,NA,2015,3,NA,NA,NA
Adan Yabaal,40,78241,19560,NA,2015,4,NA,NA,NA
Adan Yabaal,41,78373,19593,NA,2015,5,NA,NA,NA
Adan Yabaal,42,78506,19626,NA,2015,6,NA,NA,NA
Adan Yabaal,43,78639,19660,NA,2015,7,NA,NA,NA
Adan Yabaal,44,78772,19693,NA,2015,8,NA,NA,NA
Adan Yabaal,45,78905,19726,NA,2015,9,NA,NA,NA
Adan Yabaal,46,79039,19760,NA,2015,10,NA,NA,NA
Adan Yabaal,47,79172,19793,NA,2015,11,NA,NA,NA
Adan Yabaal,48,79306,19826,NA,2015,12,NA,NA,NA
Adan Yabaal,49,79440,19860,0,2016,1,South-Central,Middle Shabelle,0
Adan Yabaal,50,79575,19894,0,2016,2,South-Central,Middle Shabelle,4
Adan Yabaal,51,79705,19926,0,2016,3,South-Central,Middle Shabelle,0
Adan Yabaal,52,79840,19960,0,2016,4,South-Central,Middle Shabelle,5
Adan Yabaal,53,79970,19992,0,2016,5,South-Central,Middle Shabelle,10200
Adan Yabaal,54,80105,20026,0.148139411,2016,6,South-Central,Middle Shabelle,382
Adan Yabaal,55,79859,19965,0.147147997,2016,7,South-Central,Middle Shabelle,343
Adan Yabaal,56,79651,19913,0.146259318,2016,8,South-Central,Middle Shabelle,412
Adan Yabaal,57,79786,19946,0.151223633,2016,9,South-Central,Middle Shabelle,0
Adan Yabaal,58,79921,19980,0.151223633,2016,10,South-Central,Middle Shabelle,205
Adan Yabaal,59,79851,19963,0.150677809,2016,11,South-Central,Middle Shabelle,149
Adan Yabaal,60,79837,19959,0.15028176,2016,12,South-Central,Middle Shabelle,0
Adan Yabaal,61,79972,19993,0.15028176,2017,1,South-Central,Middle Shabelle,0
Adan Yabaal,62,80107,20027,0.15028176,2017,2,South-Central,Middle Shabelle,599
Adan Yabaal,63,79644,19911,0.148697663,2017,3,South-Central,Middle Shabelle,47
Adan Yabaal,64,79732,19933,0.148573581,2017,4,South-Central,Middle Shabelle,39
Adan Yabaal,65,79827,19957,0.148470793,2017,5,South-Central,Middle Shabelle,0
Adan Yabaal,66,79963,19991,0.148470793,2017,6,South-Central,Middle Shabelle,0
Adan Yabaal,67,80098,20024,0.148470793,2017,7,South-Central,Middle Shabelle,0
Adan Yabaal,68,80234,20058,0.148470793,2017,8,South-Central,Middle Shabelle,4
Adan Yabaal,69,80365,20091,0.148460322,2017,9,South-Central,Middle Shabelle,0
Adan Yabaal,70,80501,20125,0.148460322,2017,10,South-Central,Middle Shabelle,0
Adan Yabaal,71,80637,20159,0.148460322,2017,11,South-Central,Middle Shabelle,17
Adan Yabaal,72,80765,20191,0.148532338,2017,12,South-Central,Middle Shabelle,26
Adan Yabaal,73,80875,20219,0.148464691,2018,1,South-Central,Middle Shabelle,81
Adan Yabaal,74,80931,20233,0.1482543,2018,2,South-Central,Middle Shabelle,5
Adan Yabaal,75,81063,20266,0.148241335,2018,3,South-Central,Middle Shabelle,38
Adan Yabaal,76,81162,20290,0.148142967,2018,4,South-Central,Middle Shabelle,22
Adan Yabaal,77,81277,20319,0.148086113,2018,5,South-Central,Middle Shabelle,0
Adan Yabaal,78,81415,20354,0.148086113,2018,6,South-Central,Middle Shabelle,13
Adan Yabaal,79,81539,20385,0.148052631,2018,7,South-Central,Middle Shabelle,37
Adan Yabaal,80,81641,20410,0.147957496,2018,8,South-Central,Middle Shabelle,50
Adan Yabaal,81,81729,20432,0.147829154,2018,9,South-Central,Middle Shabelle,0
Adan Yabaal,82,81867,20467,0.147829154,2018,10,South-Central,Middle Shabelle,0
Adan Yabaal,83,82005,20501,0.147829154,2018,11,South-Central,Middle Shabelle,41
Adan Yabaal,84,82103,20526,0.147724445,2018,12,South-Central,Middle Shabelle,16
Afgooye,13,374432,93608,NA,2013,1,NA,NA,NA
Afgooye,14,375065,93766,NA,2013,2,NA,NA,NA
Afgooye,15,375699,93925,NA,2013,3,NA,NA,NA
Afgooye,16,376335,94084,NA,2013,4,NA,NA,NA
Afgooye,17,376972,94243,NA,2013,5,NA,NA,NA
Afgooye,18,377610,94402,NA,2013,6,NA,NA,NA
Afgooye,19,378248,94562,NA,2013,7,NA,NA,NA
Afgooye,20,378888,94722,NA,2013,8,NA,NA,NA
Afgooye,21,379529,94882,NA,2013,9,NA,NA,NA
Afgooye,22,380171,95043,NA,2013,10,NA,NA,NA
Afgooye,23,380814,95204,NA,2013,11,NA,NA,NA
Afgooye,24,381459,95365,NA,2013,12,NA,NA,NA
Afgooye,25,382104,95526,NA,2014,1,NA,NA,NA
Afgooye,26,382750,95688,NA,2014,2,NA,NA,NA
Afgooye,27,383398,95850,NA,2014,3,NA,NA,NA
Afgooye,28,384046,96012,NA,2014,4,NA,NA,NA
Afgooye,29,384696,96174,NA,2014,5,NA,NA,NA
Afgooye,30,385346,96336,NA,2014,6,NA,NA,NA
Afgooye,31,385999,96500,NA,2014,7,NA,NA,NA
Afgooye,32,386651,96663,NA,2014,8,NA,NA,NA
Afgooye,33,387306,96826,NA,2014,9,NA,NA,NA
Afgooye,34,387961,96990,NA,2014,10,NA,NA,NA
Afgooye,35,388617,97154,NA,2014,11,NA,NA,NA
Afgooye,36,389274,97318,NA,2014,12,NA,NA,NA
Afgooye,37,389933,97483,NA,2015,1,NA,NA,NA
Afgooye,38,390593,97648,NA,2015,2,NA,NA,NA
Afgooye,39,391253,97813,NA,2015,3,NA,NA,NA
Afgooye,40,391915,97979,NA,2015,4,NA,NA,NA
Afgooye,41,392641,98160,NA,2015,5,NA,NA,NA
Afgooye,42,393465,98366,NA,2015,6,NA,NA,NA
Afgooye,43,394239,98560,NA,2015,7,NA,NA,NA
Afgooye,44,395081,98770,NA,2015,8,NA,NA,NA
Afgooye,45,395757,98939,NA,2015,9,NA,NA,NA
Afgooye,46,396433,99108,NA,2015,10,NA,NA,NA
Afgooye,47,397107,99277,NA,2015,11,NA,NA,NA
Afgooye,48,397780,99445,NA,2015,12,NA,NA,NA
Afgooye,49,398458,99614,0.103957596,2016,1,South-Central,Lower Shabelle,0
Afgooye,50,399150,99788,0.103985212,2016,2,South-Central,Lower Shabelle,132
Afgooye,51,399752,99938,0.104085211,2016,3,South-Central,Lower Shabelle,935
Afgooye,52,399503,99876,0.103831042,2016,4,South-Central,Lower Shabelle,22
Afgooye,53,400380,100095,0.104431038,2016,5,South-Central,Lower Shabelle,1507
Afgooye,54,400607,100152,0.106893372,2016,6,South-Central,Lower Shabelle,209
Afgooye,55,401232,100308,0.10725233,2016,7,South-Central,Lower Shabelle,1044
Afgooye,56,401823,100456,0.109559487,2016,8,South-Central,Lower Shabelle,75
Afgooye,57,402452,100613,0.109588917,2016,9,South-Central,Lower Shabelle,308
Afgooye,58,402850,100712,0.109553522,2016,10,South-Central,Lower Shabelle,26425
Afgooye,59,406924,101731,0.183105966,2016,11,South-Central,Lower Shabelle,376
Afgooye,60,407354,101838,0.183211486,2016,12,South-Central,Lower Shabelle,86
Afgooye,61,407966,101992,0.183191336,2017,1,South-Central,Lower Shabelle,386
Afgooye,62,408536,102134,0.183709131,2017,2,South-Central,Lower Shabelle,876
Afgooye,63,414684,103671,0.200303315,2017,3,South-Central,Lower Shabelle,692
Afgooye,64,422232,105558,0.219852696,2017,4,South-Central,Lower Shabelle,282
Afgooye,65,422664,105666,0.219683739,2017,5,South-Central,Lower Shabelle,8252
Afgooye,66,427893,106973,0.247764267,2017,6,South-Central,Lower Shabelle,1217
Afgooye,67,427750,106938,0.247844625,2017,7,South-Central,Lower Shabelle,227
Afgooye,68,428808,107202,0.249124244,2017,8,South-Central,Lower Shabelle,477
Afgooye,69,429072,107268,0.248845564,2017,9,South-Central,Lower Shabelle,1586
Afgooye,70,428260,107065,0.247899724,2017,10,South-Central,Lower Shabelle,1959
Afgooye,71,427037,106759,0.246607142,2017,11,South-Central,Lower Shabelle,8664
Afgooye,72,422234,105558,0.248867392,2017,12,South-Central,Lower Shabelle,3484
Afgooye,73,419535,104884,0.246654706,2018,1,South-Central,Lower Shabelle,9887
Afgooye,74,410376,102594,0.239958962,2018,2,South-Central,Lower Shabelle,8736
Afgooye,75,407300,101825,0.247357493,2018,3,South-Central,Lower Shabelle,17360
Afgooye,76,390900,97725,0.235778263,2018,4,South-Central,Lower Shabelle,2852
Afgooye,77,388901,97225,0.234291079,2018,5,South-Central,Lower Shabelle,1060
Afgooye,78,388532,97133,0.233625977,2018,6,South-Central,Lower Shabelle,889
Afgooye,79,389901,97475,0.237602405,2018,7,South-Central,Lower Shabelle,2245
Afgooye,80,389928,97482,0.240621559,2018,8,South-Central,Lower Shabelle,4494
Afgooye,81,386717,96679,0.239126618,2018,9,South-Central,Lower Shabelle,944
Afgooye,82,387191,96798,0.240646215,2018,10,South-Central,Lower Shabelle,1965
Afgooye,83,386097,96524,0.239808717,2018,11,South-Central,Lower Shabelle,1411
Afgooye,84,385379,96345,0.238870853,2018,12,South-Central,Lower Shabelle,559
Afmadow,13,151477,37869,NA,2013,1,NA,NA,NA
Afmadow,14,151732,37933,NA,2013,2,NA,NA,NA
Afmadow,15,151989,37997,NA,2013,3,NA,NA,NA
Afmadow,16,152247,38062,NA,2013,4,NA,NA,NA
Afmadow,17,152504,38126,NA,2013,5,NA,NA,NA
Afmadow,18,152762,38190,NA,2013,6,NA,NA,NA
Afmadow,19,153020,38255,NA,2013,7,NA,NA,NA
Afmadow,20,153279,38320,NA,2013,8,NA,NA,NA
Afmadow,21,153539,38385,NA,2013,9,NA,NA,NA
Afmadow,22,153798,38450,NA,2013,10,NA,NA,NA
Afmadow,23,154059,38515,NA,2013,11,NA,NA,NA
Afmadow,24,154319,38580,NA,2013,12,NA,NA,NA
Afmadow,25,154580,38645,NA,2014,1,NA,NA,NA
Afmadow,26,154842,38710,NA,2014,2,NA,NA,NA
Afmadow,27,155104,38776,NA,2014,3,NA,NA,NA
Afmadow,28,155366,38842,NA,2014,4,NA,NA,NA
Afmadow,29,155629,38907,NA,2014,5,NA,NA,NA
Afmadow,30,155892,38973,NA,2014,6,NA,NA,NA
Afmadow,31,156156,39039,NA,2014,7,NA,NA,NA
Afmadow,32,156420,39105,NA,2014,8,NA,NA,NA
Afmadow,33,156685,39171,NA,2014,9,NA,NA,NA
Afmadow,34,156950,39238,NA,2014,10,NA,NA,NA
Afmadow,35,157215,39304,NA,2014,11,NA,NA,NA
Afmadow,36,157481,39370,NA,2014,12,NA,NA,NA
Afmadow,37,157747,39437,NA,2015,1,NA,NA,NA
Afmadow,38,158015,39504,NA,2015,2,NA,NA,NA
Afmadow,39,158283,39571,NA,2015,3,NA,NA,NA
Afmadow,40,158551,39638,NA,2015,4,NA,NA,NA
Afmadow,41,158820,39705,NA,2015,5,NA,NA,NA
Afmadow,42,159090,39772,NA,2015,6,NA,NA,NA
Afmadow,43,159359,39840,NA,2015,7,NA,NA,NA
Afmadow,44,159630,39908,NA,2015,8,NA,NA,NA
Afmadow,45,159900,39975,NA,2015,9,NA,NA,NA
Afmadow,46,160171,40043,NA,2015,10,NA,NA,NA
Afmadow,47,160442,40110,NA,2015,11,NA,NA,NA
Afmadow,48,160714,40178,NA,2015,12,NA,NA,NA
Afmadow,49,160985,40246,0.075368873,2016,1,South-Central,Lower Juba,0
Afmadow,50,161263,40316,0.075368873,2016,2,South-Central,Lower Juba,24
Afmadow,51,161519,40380,0.075354031,2016,3,South-Central,Lower Juba,73
Afmadow,52,161784,40446,0.075784128,2016,4,South-Central,Lower Juba,0
Afmadow,53,162063,40516,0.075784128,2016,5,South-Central,Lower Juba,12
Afmadow,54,162346,40586,0.075874671,2016,6,South-Central,Lower Juba,7
Afmadow,55,162722,40680,0.076701678,2016,7,South-Central,Lower Juba,0
Afmadow,56,163005,40751,0.076701678,2016,8,South-Central,Lower Juba,28
Afmadow,57,163255,40814,0.076684167,2016,9,South-Central,Lower Juba,0
Afmadow,58,163534,40884,0.076684167,2016,10,South-Central,Lower Juba,0
Afmadow,59,163811,40953,0.076684167,2016,11,South-Central,Lower Juba,23
Afmadow,60,164124,41031,0.077130101,2016,12,South-Central,Lower Juba,25
Afmadow,61,164461,41115,0.077783271,2017,1,South-Central,Lower Juba,0
Afmadow,62,164794,41198,0.078193281,2017,2,South-Central,Lower Juba,425
Afmadow,63,166527,41632,0.092939785,2017,3,South-Central,Lower Juba,24
Afmadow,64,168178,42044,0.10385689,2017,4,South-Central,Lower Juba,42
Afmadow,65,168543,42136,0.104752849,2017,5,South-Central,Lower Juba,0
Afmadow,66,168831,42208,0.104752849,2017,6,South-Central,Lower Juba,0
Afmadow,67,169287,42322,0.106060485,2017,7,South-Central,Lower Juba,0
Afmadow,68,169713,42428,0.107124679,2017,8,South-Central,Lower Juba,6
Afmadow,69,170112,42528,0.10801115,2017,9,South-Central,Lower Juba,249
Afmadow,70,171793,42948,0.12036899,2017,10,South-Central,Lower Juba,330
Afmadow,71,172334,43084,0.124419076,2017,11,South-Central,Lower Juba,34
Afmadow,72,172602,43150,0.124459132,2017,12,South-Central,Lower Juba,109
Afmadow,73,172871,43218,0.124984918,2018,1,South-Central,Lower Juba,103
Afmadow,74,173714,43428,0.129775191,2018,2,South-Central,Lower Juba,145
Afmadow,75,174116,43529,0.131496388,2018,3,South-Central,Lower Juba,165
Afmadow,76,174523,43631,0.133367177,2018,4,South-Central,Lower Juba,151
Afmadow,77,174877,43719,0.134756542,2018,5,South-Central,Lower Juba,47
Afmadow,78,175212,43803,0.135332553,2018,6,South-Central,Lower Juba,16
Afmadow,79,175522,43880,0.135528627,2018,7,South-Central,Lower Juba,13
Afmadow,80,175914,43978,0.136301924,2018,8,South-Central,Lower Juba,26
Afmadow,81,176571,44143,0.139100124,2018,9,South-Central,Lower Juba,119
Afmadow,82,177201,44300,0.142252865,2018,10,South-Central,Lower Juba,107
Afmadow,83,177748,44437,0.144703159,2018,11,South-Central,Lower Juba,207
Afmadow,84,178245,44561,0.14737864,2018,12,South-Central,Lower Juba,98
Baardheere,13,149670,37418,NA,2013,1,NA,NA,NA
Baardheere,14,149923,37481,NA,2013,2,NA,NA,NA
Baardheere,15,150176,37544,NA,2013,3,NA,NA,NA
Baardheere,16,150431,37608,NA,2013,4,NA,NA,NA
Baardheere,17,150685,37671,NA,2013,5,NA,NA,NA
Baardheere,18,150940,37735,NA,2013,6,NA,NA,NA
Baardheere,19,151196,37799,NA,2013,7,NA,NA,NA
Baardheere,20,151451,37863,NA,2013,8,NA,NA,NA
Baardheere,21,151707,37927,NA,2013,9,NA,NA,NA
Baardheere,22,151964,37991,NA,2013,10,NA,NA,NA
Baardheere,23,152221,38055,NA,2013,11,NA,NA,NA
Baardheere,24,152478,38120,NA,2013,12,NA,NA,NA
Baardheere,25,152736,38184,NA,2014,1,NA,NA,NA
Baardheere,26,152995,38249,NA,2014,2,NA,NA,NA
Baardheere,27,153254,38314,NA,2014,3,NA,NA,NA
Baardheere,28,153513,38378,NA,2014,4,NA,NA,NA
Baardheere,29,153773,38443,NA,2014,5,NA,NA,NA
Baardheere,30,154033,38508,NA,2014,6,NA,NA,NA
Baardheere,31,154293,38573,NA,2014,7,NA,NA,NA
Baardheere,32,154554,38638,NA,2014,8,NA,NA,NA
Baardheere,33,154816,38704,NA,2014,9,NA,NA,NA
Baardheere,34,155078,38770,NA,2014,10,NA,NA,NA
Baardheere,35,155340,38835,NA,2014,11,NA,NA,NA
Baardheere,36,155603,38901,NA,2014,12,NA,NA,NA
Baardheere,37,155866,38966,NA,2015,1,NA,NA,NA
Baardheere,38,156130,39032,NA,2015,2,NA,NA,NA
Baardheere,39,156394,39098,NA,2015,3,NA,NA,NA
Baardheere,40,156658,39164,NA,2015,4,NA,NA,NA
Baardheere,41,156924,39231,NA,2015,5,NA,NA,NA
Baardheere,42,157189,39297,NA,2015,6,NA,NA,NA
Baardheere,43,157455,39364,NA,2015,7,NA,NA,NA
Baardheere,44,157721,39430,NA,2015,8,NA,NA,NA
Baardheere,45,157988,39497,NA,2015,9,NA,NA,NA
Baardheere,46,158255,39564,NA,2015,10,NA,NA,NA
Baardheere,47,158523,39631,NA,2015,11,NA,NA,NA
Baardheere,48,158791,39698,NA,2015,12,NA,NA,NA
Baardheere,49,159060,39765,0.101474767,2016,1,South-Central,Gedo,216
Baardheere,50,160076,40019,0.107623589,2016,2,South-Central,Gedo,0
Baardheere,51,160347,40087,0.107623589,2016,3,South-Central,Gedo,145
Baardheere,52,160473,40118,0.107522362,2016,4,South-Central,Gedo,125
Baardheere,53,160619,40155,0.107435244,2016,5,South-Central,Gedo,0
Baardheere,54,160891,40223,0.107435244,2016,6,South-Central,Gedo,63
Baardheere,55,161100,40275,0.107391485,2016,7,South-Central,Gedo,229
Baardheere,56,161144,40286,0.107232694,2016,8,South-Central,Gedo,214
Baardheere,57,161202,40300,0.107084554,2016,9,South-Central,Gedo,124
Baardheere,58,161451,40363,0.107643562,2016,10,South-Central,Gedo,240
Baardheere,59,161632,40408,0.108429773,2016,11,South-Central,Gedo,391
Baardheere,60,161626,40406,0.108876999,2016,12,South-Central,Gedo,355
Baardheere,61,161660,40415,0.109367674,2017,1,South-Central,Gedo,342
Baardheere,62,162396,40599,0.114303173,2017,2,South-Central,Gedo,1532
Baardheere,63,162588,40647,0.122453635,2017,3,South-Central,Gedo,1591
Baardheere,64,162247,40562,0.127436935,2017,4,South-Central,Gedo,832
Baardheere,65,161822,40456,0.127600705,2017,5,South-Central,Gedo,411
Baardheere,66,162042,40510,0.129562905,2017,6,South-Central,Gedo,1477
Baardheere,67,162300,40575,0.137705598,2017,7,South-Central,Gedo,223
Baardheere,68,162598,40650,0.139084038,2017,8,South-Central,Gedo,328
Baardheere,69,163073,40768,0.142167584,2017,9,South-Central,Gedo,867
Baardheere,70,163249,40812,0.146268015,2017,10,South-Central,Gedo,456
Baardheere,71,163325,40831,0.147464969,2017,11,South-Central,Gedo,163
Baardheere,72,163689,40922,0.148915562,2017,12,South-Central,Gedo,295
Baardheere,73,164065,41016,0.151131465,2018,1,South-Central,Gedo,117
Baardheere,74,164401,41100,0.152134198,2018,2,South-Central,Gedo,304
Baardheere,75,164520,41130,0.152756947,2018,3,South-Central,Gedo,809
Baardheere,76,164300,41075,0.153930282,2018,4,South-Central,Gedo,17753
Baardheere,77,164041,41010,0.245510094,2018,5,South-Central,Gedo,435
Baardheere,78,164054,41014,0.245903431,2018,6,South-Central,Gedo,194
Baardheere,79,164427,41107,0.247430333,2018,7,South-Central,Gedo,22
Baardheere,80,164732,41183,0.24771187,2018,8,South-Central,Gedo,217
Baardheere,81,164843,41211,0.247678088,2018,9,South-Central,Gedo,96
Baardheere,82,165169,41292,0.248428907,2018,10,South-Central,Gedo,272
Baardheere,83,165405,41351,0.249441013,2018,11,South-Central,Gedo,183
Baardheere,84,165632,41408,0.249968405,2018,12,South-Central,Gedo,67
Badhaadhe,13,69328,17332,NA,2013,1,NA,NA,NA
Badhaadhe,14,69446,17362,NA,2013,2,NA,NA,NA
Badhaadhe,15,69563,17391,NA,2013,3,NA,NA,NA
Badhaadhe,16,69681,17420,NA,2013,4,NA,NA,NA
Badhaadhe,17,69799,17450,NA,2013,5,NA,NA,NA
Badhaadhe,18,69917,17479,NA,2013,6,NA,NA,NA
Badhaadhe,19,70035,17509,NA,2013,7,NA,NA,NA
Badhaadhe,20,70153,17538,NA,2013,8,NA,NA,NA
Badhaadhe,21,70272,17568,NA,2013,9,NA,NA,NA
Badhaadhe,22,70391,17598,NA,2013,10,NA,NA,NA
Badhaadhe,23,70510,17628,NA,2013,11,NA,NA,NA
Badhaadhe,24,70629,17657,NA,2013,12,NA,NA,NA
Badhaadhe,25,70749,17687,NA,2014,1,NA,NA,NA
Badhaadhe,26,70869,17717,NA,2014,2,NA,NA,NA
Badhaadhe,27,70988,17747,NA,2014,3,NA,NA,NA
Badhaadhe,28,71108,17777,NA,2014,4,NA,NA,NA
Badhaadhe,29,71229,17807,NA,2014,5,NA,NA,NA
Badhaadhe,30,71349,17837,NA,2014,6,NA,NA,NA
Badhaadhe,31,71470,17868,NA,2014,7,NA,NA,NA
Badhaadhe,32,71591,17898,NA,2014,8,NA,NA,NA
Badhaadhe,33,71712,17928,NA,2014,9,NA,NA,NA
Badhaadhe,34,71833,17958,NA,2014,10,NA,NA,NA
Badhaadhe,35,71955,17989,NA,2014,11,NA,NA,NA
Badhaadhe,36,72076,18019,NA,2014,12,NA,NA,NA
Badhaadhe,37,72199,18050,NA,2015,1,NA,NA,NA
Badhaadhe,38,72320,18080,NA,2015,2,NA,NA,NA
Badhaadhe,39,72443,18111,NA,2015,3,NA,NA,NA
Badhaadhe,40,72566,18142,NA,2015,4,NA,NA,NA
Badhaadhe,41,72688,18172,NA,2015,5,NA,NA,NA
Badhaadhe,42,72811,18203,NA,2015,6,NA,NA,NA
Badhaadhe,43,72934,18234,NA,2015,7,NA,NA,NA
Badhaadhe,44,73058,18264,NA,2015,8,NA,NA,NA
Badhaadhe,45,73181,18295,NA,2015,9,NA,NA,NA
Badhaadhe,46,73305,18326,NA,2015,10,NA,NA,NA
Badhaadhe,47,73429,18357,NA,2015,11,NA,NA,NA
Badhaadhe,48,73553,18388,NA,2015,12,NA,NA,NA
Badhaadhe,49,73678,18420,0.010680337,2016,1,South-Central,Lower Juba,0
Badhaadhe,50,73802,18450,0.010680337,2016,2,South-Central,Lower Juba,6
Badhaadhe,51,73921,18480,0.010679406,2016,3,South-Central,Lower Juba,0
Badhaadhe,52,74046,18512,0.010679406,2016,4,South-Central,Lower Juba,0
Badhaadhe,53,74172,18543,0.010679406,2016,5,South-Central,Lower Juba,0
Badhaadhe,54,74297,18574,0.010679406,2016,6,South-Central,Lower Juba,6
Badhaadhe,55,74417,18604,0.01067848,2016,7,South-Central,Lower Juba,0
Badhaadhe,56,74543,18636,0.01067848,2016,8,South-Central,Lower Juba,0
Badhaadhe,57,74669,18667,0.01067848,2016,9,South-Central,Lower Juba,0
Badhaadhe,58,74795,18699,0.01067848,2016,10,South-Central,Lower Juba,3
Badhaadhe,59,74918,18730,0.01067802,2016,11,South-Central,Lower Juba,4
Badhaadhe,60,75041,18760,0.010677409,2016,12,South-Central,Lower Juba,5
Badhaadhe,61,75163,18791,0.010676645,2017,1,South-Central,Lower Juba,0
Badhaadhe,62,75290,18822,0.010676645,2017,2,South-Central,Lower Juba,5
Badhaadhe,63,75413,18853,0.010675884,2017,3,South-Central,Lower Juba,5
Badhaadhe,64,75535,18884,0.010675125,2017,4,South-Central,Lower Juba,0
Badhaadhe,65,75663,18916,0.010675125,2017,5,South-Central,Lower Juba,14
Badhaadhe,66,75777,18944,0.010673005,2017,6,South-Central,Lower Juba,0
Badhaadhe,67,75905,18976,0.010673005,2017,7,South-Central,Lower Juba,0
Badhaadhe,68,76034,19008,0.010673005,2017,8,South-Central,Lower Juba,0
Badhaadhe,69,76162,19040,0.010673005,2017,9,South-Central,Lower Juba,17
Badhaadhe,70,76274,19068,0.010670448,2017,10,South-Central,Lower Juba,22
Badhaadhe,71,76381,19095,0.010667145,2017,11,South-Central,Lower Juba,18
Badhaadhe,72,76493,19123,0.010664447,2017,12,South-Central,Lower Juba,39
Badhaadhe,73,76583,19146,0.010658611,2018,1,South-Central,Lower Juba,29
Badhaadhe,74,76683,19171,0.010654279,2018,2,South-Central,Lower Juba,9
Badhaadhe,75,76804,19201,0.010652937,2018,3,South-Central,Lower Juba,89
Badhaadhe,76,76845,19211,0.010639687,2018,4,South-Central,Lower Juba,62
Badhaadhe,77,76913,19228,0.010630472,2018,5,South-Central,Lower Juba,0
Badhaadhe,78,77043,19261,0.010630472,2018,6,South-Central,Lower Juba,0
Badhaadhe,79,77173,19293,0.010630472,2018,7,South-Central,Lower Juba,0
Badhaadhe,80,77304,19326,0.010630472,2018,8,South-Central,Lower Juba,0
Badhaadhe,81,77435,19359,0.010630472,2018,9,South-Central,Lower Juba,5
Badhaadhe,82,77561,19390,0.010629735,2018,10,South-Central,Lower Juba,46
Badhaadhe,83,77646,19412,0.010622967,2018,11,South-Central,Lower Juba,31
Badhaadhe,84,77746,19436,0.010618414,2018,12,South-Central,Lower Juba,11
Baki,13,63461,15865,NA,2013,1,NA,NA,NA
Baki,14,63568,15892,NA,2013,2,NA,NA,NA
Baki,15,63676,15919,NA,2013,3,NA,NA,NA
Baki,16,63784,15946,NA,2013,4,NA,NA,NA
Baki,17,63891,15973,NA,2013,5,NA,NA,NA
Baki,18,63999,16000,NA,2013,6,NA,NA,NA
Baki,19,64108,16027,NA,2013,7,NA,NA,NA
Baki,20,64216,16054,NA,2013,8,NA,NA,NA
Baki,21,64325,16081,NA,2013,9,NA,NA,NA
Baki,22,64434,16108,NA,2013,10,NA,NA,NA
Baki,23,64543,16136,NA,2013,11,NA,NA,NA
Baki,24,64652,16163,NA,2013,12,NA,NA,NA
Baki,25,64761,16190,NA,2014,1,NA,NA,NA
Baki,26,64871,16218,NA,2014,2,NA,NA,NA
Baki,27,64981,16245,NA,2014,3,NA,NA,NA
Baki,28,65091,16273,NA,2014,4,NA,NA,NA
Baki,29,65201,16300,NA,2014,5,NA,NA,NA
Baki,30,65311,16328,NA,2014,6,NA,NA,NA
Baki,31,65421,16355,NA,2014,7,NA,NA,NA
Baki,32,65532,16383,NA,2014,8,NA,NA,NA
Baki,33,65643,16411,NA,2014,9,NA,NA,NA
Baki,34,65754,16438,NA,2014,10,NA,NA,NA
Baki,35,65865,16466,NA,2014,11,NA,NA,NA
Baki,36,65977,16494,NA,2014,12,NA,NA,NA
Baki,37,66089,16522,NA,2015,1,NA,NA,NA
Baki,38,66200,16550,NA,2015,2,NA,NA,NA
Baki,39,66312,16578,NA,2015,3,NA,NA,NA
Baki,40,66424,16606,NA,2015,4,NA,NA,NA
Baki,41,66537,16634,NA,2015,5,NA,NA,NA
Baki,42,66649,16662,NA,2015,6,NA,NA,NA
Baki,43,66762,16690,NA,2015,7,NA,NA,NA
